movie_title,release_date,rating,runtime,director,box_office,,,
Steamboat Willie,1929-01-01,7.6,8,Ub Iwerks and Walt Disney,0,,,
Snow White and the Seven Dwarfs,1937-12-21,7.6,83,David Hand,58380000,,,
Pinocchio,1940-02-07,7.4,88,Ben Sharpsteen,27830000,,,
Fantasia,1940-11-13,7.8,126,Ben Sharpsteen,21310000,,,
The Reluctant Dragon,1941-06-20,6.9,74,Alfred L. Werker and Hamilton Luske,960000,,,
Dumbo,1941-10-23,7.2,64,Ben Sharpsteen,1300000,,,
Bambi,1942-08-13,7.3,70,David Hand,23130000,,,
Saludos Amigos,1943-02-06,6.2,42,Jack Kinney,1135000,,,
The Three Caballeros,1945-02-03,6.5,71,Norman Ferguson,3355000,,,
Make Mine Music,1946-04-20,6.3,75,Jack Kinney,3275000,,,
Song of the South,1946-11-20,7.1,94,Harve Foster and Wilfred Jackson,65000000,,,
Fun and Fancy Free,1947-09-27,6.6,73,Jack Kinney,3165000,,,
Melody Time,1948-05-27,6.4,75,Clyde Geronimi,2560000,,,
The Adventures of Ichabod and Mr. Toad,1949-10-05,7,68,Jack Kinney,1625000,,,
Cinderella,1950-02-15,7.3,75,Wilfred Jackson,26460000,,,
Alice in Wonderland,1951-07-28,7.4,75,Clyde Geronimi,5600000,,,
Peter Pan,1953-02-05,7.3,76,Hamilton Luske,21750000,,,
Lady and the Tramp,1955-06-22,7.3,76,Hamilton Luske,15640000,,,
Sleeping Beauty,1959-01-29,7.2,75,Clyde Geronimi,7300000,,,
101 Dalmatians,1961-01-25,7.2,79,Wolfgang Reitherman,34260000,,,
The Sword in the Stone,1963-12-25,7.2,79,Wolfgang Reitherman,6350000,,,
The Jungle Book,1967-10-18,7.6,78,Wolfgang Reitherman,23750000,,,
The Aristocats,1970-12-24,7.1,79,Wolfgang Reitherman,10000000,,,
Robin Hood,1973-11-08,7.6,83,Wolfgang Reitherman,32000000,,,
The Many Adventures of Winnie the Pooh,1977-03-11,7.6,74,Wolfgang Reitherman,0,,,
The Rescuers,1977-06-22,6.9,77,Wolfgang Reitherman,22510000,,,
The Fox and the Hound,1981-07-10,7.3,83,Art Stevens,14150000,,,
The Black Cauldron,1985-07-24,6.4,80,Ted Berman,10020000,,,
The Great Mouse Detective,1986-07-02,7.2,74,Ron Clements,38700000,,,
Oliver & Company,1988-11-18,6.7,74,George Scribner,74200000,,,
The Little Mermaid,1989-11-17,7.6,83,Ron Clements,75250000,,,
The Rescuers Down Under,1990-11-16,6.9,77,Mike Gabriel,18880000,,,
Beauty and the Beast,1991-11-22,8,84,Gary Trousdale,115610000,,,
Aladdin,1992-11-25,8,90,Ron Clements,137840000,,,
The Lion King,1994-06-24,8.5,88,Roger Allers,93960000,,,
A Goofy Movie,1995-04-07,6.8,78,Kevin Lima,35300000,,,
Pocahontas,1995-06-23,6.7,81,Mike Gabriel,82940000,,,
Toy Story,1995-11-22,8.3,91,John Lasseter,189460000,,,
The Hunchback of Notre Dame,1996-06-21,6.9,93,Gary Trousdale,57500000,,,
Hercules,1997-06-27,7.3,87,Ron Clements,54600000,,,
Mulan,1998-06-19,7.6,88,Barry Cook,70370000,,,
A Bug's Life,1998-11-25,7.2,74,John Lasseter,161330000,,,
Tarzan,1999-06-18,7.3,82,Chris Buck,105630000,,,
Toy Story 2,1999-11-24,7.9,78,John Lasseter,244890000,,,
Fantasia 2000,2000-01-01,7.2,96,James Algar,38920000,,,
